"user.id";"remote.user.id.if.known";"week";"count"
1;2;40;7
1;2;41;8
1;2;42;18
1;2;43;14
1;2;44;182
1;2;45;106
1;2;48;2
1;2;49;2
1;2;54;4
1;2;55;50
1;2;56;12
1;2;57;44
1;2;58;172
1;2;60;232
1;2;61;332
1;2;62;233
1;2;63;1071
1;2;64;892
1;2;65;348
1;2;66;881
1;2;67;770
1;2;68;700
1;2;69;1050
1;2;70;770
1;2;71;462
1;2;72;488
1;2;73;42
1;4;62;21
1;4;63;56
1;4;64;76
1;4;65;97
1;4;66;54
1;4;67;84
1;4;68;32
1;4;69;104
1;4;70;66
1;4;71;10
1;4;72;2
1;4;73;7
1;4;74;15
1;4;75;3
1;5;40;7
1;5;45;2
1;5;67;2
1;5;69;4
1;5;71;2
1;5;72;4
1;6;40;5
1;6;69;2
1;6;74;1
1;7;63;6
1;7;64;28
1;7;65;4
1;7;66;50
1;7;67;8
1;7;70;78
1;7;71;2
1;8;40;4
1;8;57;2
1;8;61;4
1;8;63;2
1;8;68;8
1;8;69;16
1;8;70;18
1;8;71;6
1;9;74;1
1;11;42;1
1;11;43;6
1;11;55;30
1;11;57;97
1;11;58;50
1;11;62;60
1;11;63;442
1;11;64;526
1;11;65;221
1;11;66;565
1;11;67;296
1;11;68;116
1;11;69;456
1;11;70;176
1;11;71;204
1;11;72;59
1;11;73;148
1;11;74;195
1;11;75;11
1;11;76;9
1;14;40;17
1;14;41;14
1;14;42;10
1;14;44;70
1;14;45;8
1;14;55;12
1;14;56;2
1;14;57;143
1;14;62;344
1;14;63;154
1;14;66;140
1;14;67;906
1;14;68;56
1;14;70;14
1;14;71;470
1;14;72;552
1;14;73;72
1;15;72;7
1;15;73;1
1;16;44;4
1;16;45;18
1;16;49;2
1;16;58;112
1;16;61;2
1;16;62;2
1;16;63;12
1;16;64;8
1;18;67;2
1;19;40;4
1;19;64;2
1;19;65;2
1;20;40;8
1;20;42;2
1;20;44;2
1;20;56;8
1;20;57;2
1;20;58;2
1;20;60;8
1;20;61;54
1;20;62;34
1;20;63;204
1;20;64;202
1;20;65;143
1;20;66;108
1;20;67;92
1;20;68;62
1;20;69;118
1;20;70;48
1;20;71;18
1;20;72;45
1;20;73;25
1;20;74;23
1;20;75;4
1;20;76;1
1;21;42;2
1;21;43;4
1;21;44;20
1;21;45;2
1;21;57;22
1;21;60;4
1;21;61;4
1;21;62;4
1;21;63;46
1;21;64;18
1;21;65;4
1;21;66;2
1;21;67;48
1;21;68;12
1;21;69;26
1;21;70;42
1;21;71;8
1;21;72;176
1;21;73;75
1;22;64;2
1;23;61;2
1;23;64;4
1;23;65;6
1;23;67;2
1;23;74;2
1;24;40;6
1;24;41;5
1;24;42;6
1;24;43;12
1;24;44;2
1;24;45;6
1;24;48;4
1;24;55;31
1;24;56;18
1;24;57;283
1;24;58;106
1;24;60;126
1;24;61;164
1;24;62;230
1;24;63;1013
1;24;64;1150
1;24;65;760
1;24;66;451
1;24;67;602
1;24;68;504
1;24;69;212
1;24;70;394
1;24;71;514
1;24;72;374
1;24;73;85
1;24;74;279
1;25;48;2
1;27;40;22
1;27;43;2
1;27;64;6
1;27;65;2
1;27;66;10
1;27;67;2
1;27;68;4
1;27;69;4
1;27;70;2
1;27;72;4
1;27;73;1
1;28;40;13
1;29;40;6
1;29;73;1
1;30;40;1
1;30;42;2
1;30;43;2
1;30;56;11
1;30;57;30
1;30;58;10
1;30;63;20
1;30;64;34
1;30;65;112
1;30;66;60
1;30;67;30
1;30;68;46
1;30;69;148
1;30;70;44
1;30;71;4
1;30;72;37
1;30;73;42
1;30;74;20
1;31;61;2
1;31;63;8
1;31;64;182
1;31;65;302
1;31;66;46
1;31;67;364
1;31;68;100
1;31;69;48
1;31;70;392
1;31;71;534
1;31;72;2
1;31;73;8
1;31;74;303
1;31;75;3
1;31;76;8
1;32;40;7
1;32;66;2
1;33;63;4
